Living.Arrangement,On.campus,Enjoy.School,Average.Sleep,Current.GPA
Off Campus,No,Yes,9,4
Off Campus,No,Yes,8,4
Off Campus,No,Yes,9,3.3
Off Campus,No,Yes,9.5,3.8
Frat/Sorority,Yes,Yes,8,3.5
Off Campus,No,Yes,8.5,3
Off Campus,No,Yes,9.5,4
Frat/Sorority,Yes,Yes,9,3.1
Dorm,Yes,Yes,7,2.5
Off Campus,No,Yes,10,4
Dorm,Yes,Yes,9,3.5
Off Campus,No,Yes,7,2.8
Dorm,Yes,Yes,8,4
Dorm,Yes,Yes,6,2.5
Frat/Sorority,Yes,Yes,10,3.9
Dorm,Yes,Yes,8.5,3.5
Off Campus,No,Yes,8.5,3
Dorm,Yes,Yes,8,2.2
Frat/Sorority,Yes,Yes,9,3.6
Frat/Sorority,Yes,Yes,9,3.1
Off Campus,No,Yes,9,4
Off Campus,No,Yes,7.5,3.5
Dorm,Yes,Yes,9,4
Frat/Sorority,Yes,Yes,9,3.5
Off Campus,No,Yes,7,4
Off Campus,No,Yes,8.5,3.8
Frat/Sorority,Yes,Yes,7,3.9
Frat/Sorority,Yes,Yes,9,3.6
Off Campus,No,Yes,8,2.8
Apartment,Yes,Yes,7,1.8
Off Campus,No,Yes,9.5,3.4
Off Campus,No,Yes,9.5,3.4
Off Campus,No,Yes,7,2.8
Dorm,Yes,Yes,8,2.2
Apartment,Yes,Yes,6.5,2.3
Off Campus,No,Yes,7.5,3.5
Off Campus,No,Yes,7.5,3.8
Off Campus,No,Yes,8,2.8
Off Campus,No,Yes,7.5,2.6
Off Campus,No,Yes,8.5,2.6
Frat/Sorority,Yes,Most the time,9,4
Frat/Sorority,Yes,Most the time,6.5,2.9
Dorm,Yes,Most the time,6.5,1.9
Frat/Sorority,Yes,Most the time,7,3.2
Frat/Sorority,Yes,Most the time,6.5,2.9
Off Campus,No,Most the time,8,2.6
Off Campus,No,Most the time,7.5,2
Dorm,Yes,Most the time,9,3.5
Off Campus,No,Most the time,8,3.2
Off Campus,No,Most the time,7,2
Frat/Sorority,Yes,Most the time,7,3.2
Frat/Sorority,Yes,Most the time,9,4
Apartment,Yes,Most the time,7.5,2.9
Apartment,Yes,Most the time,7,2.8
Off Campus,No,Most the time,8,2.6
Off Campus,No,Most the time,8,3.4
Frat/Sorority,Yes,Most the time,7.5,2.7
Dorm,Yes,Most the time,9,3.5
Off Campus,No,Most the time,8,3.4
Apartment,Yes,Most the time,8,2.8
Dorm,Yes,Most the time,8.5,3
Dorm,Yes,Sometimes,7.5,2.6
Frat/Sorority,Yes,Sometimes,8,2.8
Dorm,Yes,Sometimes,7.5,3.3
Off Campus,No,Sometimes,8,3.2
Dorm,Yes,Sometimes,9,4
Dorm,Yes,Sometimes,8,2.2
Dorm,Yes,Sometimes,7,2.7
Frat/Sorority,Yes,Sometimes,7.5,2.9
Frat/Sorority,Yes,Sometimes,8.5,2.9
Apartment,Yes,Sometimes,8.5,3
Dorm,Yes,Sometimes,9,4
Frat/Sorority,Yes,Sometimes,7,2.8
Apartment,Yes,Sometimes,6,2.4
Frat/Sorority,Yes,Sometimes,8,3.1
Off Campus,No,Sometimes,8,3
Dorm,Yes,Sometimes,8.5,2.5
Frat/Sorority,Yes,Sometimes,7,3.1
Dorm,Yes,Sometimes,7.5,2.7
Off Campus,No,Sometimes,8,2.5
Apartment,Yes,Sometimes,6,2.4
Off Campus,No,Sometimes,9.5,3.8
Dorm,Yes,Sometimes,8.5,3.6
Off Campus,No,Sometimes,9,2.5
Dorm,Yes,Sometimes,7.5,2.6
Frat/Sorority,Yes,Sometimes,7.5,2.7
Dorm,Yes,Sometimes,8.5,3
Apartment,Yes,Sometimes,8.5,3
Dorm,Yes,Sometimes,7.5,3.3
Off Campus,No,Sometimes,8,3
Dorm,Yes,Not at all,6.5,2.3
Dorm,Yes,Not at all,8.5,2.5
Apartment,Yes,Not at all,6.5,2.3
Off Campus,No,Not at all,9,3.3
Frat/Sorority,Yes,Not at all,8,3.5
Apartment,Yes,Not at all,6.5,2.9
Dorm,Yes,Not at all,6,1.9
Dorm,Yes,Not at all,8.5,3.6
Frat/Sorority,Yes,Not at all,9,3.5
Dorm,Yes,Not at all,6.5,2.2
Dorm,Yes,Not at all,5.5,2
Dorm,Yes,Not at all,6.5,2.3
Apartment,Yes,Not at all,7,1.8
Dorm,Yes,Not at all,5.5,2
